,stallName,region,postalCode,locationName,images,,stallNumber,deliveryAvailable,contact,foodTheyServe,favorites,dietaryRestrictions,priceRange,nameOfHawker,moreAboutThisHawker,openingHours,whatAreTheConcernsThisHawkerIsFacing,recommendedBy,,,,,
,Hong Wen Mutton Soup,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1scTJ5CgQSAMrLKKeYQQqhmMzq1C842WE,Blk144 Upper Bukit Timah Rd,#04-20,No,98898948,"Mutton Stomach Soup, Mutton Soup, Mutton Telon Soup","Mutton Stomach Soup, Mutton Soup, Mutton Telon Soup",,,,,"Open everyday, 11am to 4pm (730pm on weekend)",,,,Mutton Stomach Soup,Mutton Soup,Mutton Telon Soup,"Mutton Stomach Soup, Mutton Soup, Mutton Telon Soup"
,Happiness Hainanese Chicken Rice,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1tXe9sBt40VbnMThmCVuFjGancUaYhqqF,Blk144 Upper Bukit Timah Rd,#04-38,No,91386760,"Steamed Chicken Rice, Roast Chicken Rice","Steamed Chicken Rice, Roast Chicken Rice",,,,,"Open everyday except Tuesday, 10am to 3pm",,,,Steamed Chicken Rice,Roast Chicken Rice,,"Steamed Chicken Rice, Roast Chicken Rice"
,Jin Li Satay Bee Hoon,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1M6vmAytfwoMuSM2LR1zMS7KdFlVmjEUL,Blk144 Upper Bukit Timah Rd,#04-40,No,91546406,"Satay Bee Hoon, Laksa","Satay Bee Hoon, Laksa",,,,,"Open everyday except Tuesday & Wednesday, 11am to 3pm",,sgfoodonfoot,,Satay Bee Hoon,Laksa,,"Satay Bee Hoon, Laksa"
,Top1 Home Made Noodle,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1uKsJryyIcV1IPIDkWoZsMw80o8S4QZ1r,Blk144 Upper Bukit Timah Rd,#04-44,No,83384483,"Sliced Fish Home Made Noodles, Home Made Yu Mee with Prawn, Sliced Salmon Beehoon","Sliced Fish Home Made Noodles, Home Made Yu Mee with Prawn, Sliced Salmon Beehoon",,,,,"Open everyday except Wednesday, 11am to 5pm",,misstamchiak,,Sliced Fish Home Made Noodles,Home Made Yu Mee with Prawn,Sliced Salmon Beehoon,"Sliced Fish Home Made Noodles, Home Made Yu Mee with Prawn, Sliced Salmon Beehoon"
,Top1 Mini Wok,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1Z-WwClL6PiAl_SH0QVQVsRVXe6_fJVyP,Blk144 Upper Bukit Timah Rd,#04-47,No,97779235,"Seafood Beancurd with Rice, Dried Chili Chicken Dice with Rice, Sweet and Sour Sliced Fish with Rice","Seafood Beancurd with Rice, Dried Chili Chicken Dice with Rice, Sweet and Sour Sliced Fish with Rice",,,,,"Open everyday except Friday, 11am to 7pm",,umakemehungry,,Seafood Beancurd with Rice,Dried Chili Chicken Dice with Rice,Sweet and Sour Sliced Fish with Rice,"Seafood Beancurd with Rice, Dried Chili Chicken Dice with Rice, Sweet and Sour Sliced Fish with Rice"
,Sheng Li Nasi Lemak,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1Ncj4p4xD3Vomcav_rnLLa7u7a9UMGeQz,Blk144 Upper Bukit Timah Rd,#04-48,No,91804022,"Nasi Lemak, Fried Chicken Wings","Nasi Lemak, Fried Chicken Wings",,,,,"Open everyday except Tuesday, 730am to 4pm",,Four Square,,Nasi Lemak,Fried Chicken Wings,,"Nasi Lemak, Fried Chicken Wings"
,Soy Eu Tua coffeeshop,East,455207,15 Upper East Coast Rd,https://drive.google.com/drive/folders/1bB9BDCw490z85q3JbRWQUADaEgpeCzLz,15 Upper East Coast Rd,,No,1,"Prawn noodle, lor mee, Hokkien mee, carrot cake, Fishball noodles","Prawn noodle, lor mee, Hokkien mee, carrot cake, Fishball noodles",,,,,"7am to 8pm, Monday Closed",,Burpple,,"Prawn noodle, lor mee","Hokkien mee, carrot cake",Fishball noodles,"Prawn noodle, lor mee, Hokkien mee, carrot cake, Fishball noodles"
,Khun-Yai Thai Food (Bangkok),Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1E1btAZ5p2XPEU114BGbx1-C8zMZ_n7ZD,Blk144 Upper Bukit Timah Rd,#04-66,No,-,"Fried Minced Hot Basil, Phad Thai, Pineapple Fried Rice","Fried Minced Hot Basil, Phad Thai, Pineapple Fried Rice",,,,,"Open everyday except Monday, 1130am to 2pm and 5pm to 7pm",,umakemehungry,,Fried Minced Hot Basil,Phad Thai,Pineapple Fried Rice,"Fried Minced Hot Basil, Phad Thai, Pineapple Fried Rice"
,28 Mixed Veg Rice,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1_9JP_h3GuhLMIqNv7zzba9OC-TldDoTD,Blk144 Upper Bukit Timah Rd,#04-65 ,No,87783599,"Sweet and soup Pork, Curry Chicken","Sweet and soup Pork, Curry Chicken",,,,,"Open everyday except Sunday, 1030am to 3pm",,openrice,,Sweet and soup Pork,Curry Chicken,,"Sweet and soup Pork, Curry Chicken"
,Dhaba 1376 North Indian cuisine,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1WRe4AdqzoZwH_QQvM801F2EVTIsB2o1B,Blk144 Upper Bukit Timah Rd,#04-64,"Grab, Foodpanda, Deliveroo",91058451,"Mixed Kebab Platter, Chicken Curry, Mutton Curry","Mixed Kebab Platter, Chicken Curry, Mutton Curry",,,,,"Open everyday except Monday afternoon, 11am to 10pm",,,,Mixed Kebab Platter,Chicken Curry,Mutton Curry,"Mixed Kebab Platter, Chicken Curry, Mutton Curry"
,Guan Yin Vegetarian,Central,588177,Beauty World Hawker Centre,https://drive.google.com/drive/folders/1EkEPK1mBrdCvQzZ1_071kAV-cdVGnVrD,Blk144 Upper Bukit Timah Rd,#04-41,No,94553873,"Mixed Vegetable Gravy Fried Kway Teow, Hokkien Noodles, Mee Hoon Kuey","Mixed Vegetable Gravy Fried Kway Teow, Hokkien Noodles, Mee Hoon Kuey",,,,,"Everyday except Sunday, 11pm to 2pm",,Happycow,,Mixed Vegetable Gravy Fried Kway Teow,Hokkien Noodles,Mee Hoon Kuey,"Mixed Vegetable Gravy Fried Kway Teow, Hokkien Noodles, Mee Hoon Kuey"
,Rojak Popiah and Cockle,Central,069184,Maxwell Food Centre,https://drive.google.com/drive/folders/1Gow9UagOIe7h4xE2JRlGUJbPZbh_M5dC,1 Kadayanallur St,Stall 56,No,,"Rojak, Popiah","*Listed in 2018 Michelin Bib Gourmand, Rojak, Popiah",,,,,11-6pm,,Danielfooddiary,,*Listed in 2018 Michelin Bib Gourmand,Rojak,Popiah,"*Listed in 2018 Michelin Bib Gourmand, Rojak, Popiah"
,Noshkata,Central,574419,590 upper Thomas road ,https://drive.google.com/drive/folders/15Sjl85_eBfxsWMS-vxqdrgsQ3QNm76aC,590 upper Thomas road ,#01-22,No,90092999,"Army stew, Tomyam hotpot noodle, Sesame chicken with rice","Army stew, Tomyam hotpot noodle, Sesame chicken with rice",,,,,11-7pm,,misstamchiak,,Army stew,Tomyam hotpot noodle,Sesame chicken with rice,"Army stew, Tomyam hotpot noodle, Sesame chicken with rice"
,29 Porridge & Soup,Central,330029, Bendemeer Market & Food Centre,https://drive.google.com/drive/folders/1v7Hg9pvYqgmmP9xr-FQJYmV1FAKMKSht,29 Bendemeer Rd,#01-43,No,93203362,"Pork Porridge, Teochew Fish Soup","Pork Porridge, Teochew Fish Soup",,,,,7am to 6pm,,henbaohen.bao,,Pork Porridge,Teochew Fish Soup,,"Pork Porridge, Teochew Fish Soup"
,Eat May Know,Central,330029, Bendemeer Market & Food Centre,https://drive.google.com/drive/folders/1L1nR9HLD8CkvlMs6lR4pzyREbtK8P3dX,29 Bendemeer Rd,#01-32,No,-,"Rojak, Youtiao, Butterfly Bun","Rojak, Youtiao, Butterfly Bun",,,,,-,,,,Rojak,Youtiao,Butterfly Bun,"Rojak, Youtiao, Butterfly Bun"
,Hong Yong Teochew Handmade Fishball Mee,Central,160112,Jln Bukit Merah Food Centre ,https://drive.google.com/drive/folders/18EilrMP0GvMa93GUQXLlPcNKl5756Rix,Blk 112 ,#01-09,No,,Fishball Noodles,https://www.misstamchiak.com/hong yong chao zhou yu yuan guo tiao mian/,,,,,4am plus till 10am or till sold out,,misstamchiak,,https://www.misstamchiak.com/hong yong chao zhou yu yuan guo tiao mian/,,,https://www.misstamchiak.com/hong yong chao zhou yu yuan guo tiao mian/
,Zhen Ji Mushroom Minced Meat Noodles,Central,330029,Bendemeer Market & Food Centre,https://drive.google.com/drive/folders/1FwdZxsKL75KCfzKvwF1cLcpoCdMk_01U,29 Bendemeer Rd,#01-21,No,-,"Mushroom Minced Meat Noodle, Mushroom Minced Meat Noodle Soup","Mushroom Minced Meat Noodle, Mushroom Minced Meat Noodle Soup",,,,,-,,misstamchiak,,Mushroom Minced Meat Noodle,Mushroom Minced Meat Noodle Soup,,"Mushroom Minced Meat Noodle, Mushroom Minced Meat Noodle Soup"
,Zhong Ji Wanton Mee 忠记云吞面,Central,330029,Bendemeer Market & Food Centre,https://drive.google.com/drive/folders/1sT1plX3FNeeNcA4VbJyfKMp2Y4hDdyNg,29 Bendemeer Rd,#01-25,No,-,"Wanton Mee, Chicken Feet Noodles, Pork Rib Noodles","Wanton Mee, Chicken Fee Noodles, Pork Rib Noodles",,,,,-,,,,Wanton Mee,Chicken Fee Noodles,Pork Rib Noodles,"Wanton Mee, Chicken Fee Noodles, Pork Rib Noodles"
,Min Hiang,Central,330029,Bendemeer Market & Food Centre,https://drive.google.com/drive/folders/1ukjtKPpOuxF2jKem6cZLS5Obh5rnHNge,29 Bendemeer Rd,#01-60,No,83381977,"Soya Bean Milk, Soya Bean Curd, Chin Chow","Soya Bean Milk, Soya Bean Curd, Chin Chow",,,,,Till late afternoon,,,,Soya Bean Milk,Soya Bean Curd,Chin Chow,"Soya Bean Milk, Soya Bean Curd, Chin Chow"
,Fatina's Family Food Corner,Central,330029,Bendemeer Market & Food Centre,https://drive.google.com/drive/folders/1imyk5jCQqv-dGU0AzKhVkkn9dh5MyfI2,29 Bendemeer Rd,#01-23,No,-,"Nasi Lemak Ayam, Nasi Lemak Rendang, Mee Goreng","Nasi Lemak Ayam, Nasi Lemak Rendang, Mee Goreng",Halal,,,,-,,hungrygowhere,,Nasi Lemak Ayam,Nasi Lemak Rendang,Mee Goreng,"Nasi Lemak Ayam, Nasi Lemak Rendang, Mee Goreng"
,Warong Mak Limah & Family,Central,330029,Bendemeer Market & Food Centre,https://drive.google.com/drive/folders/1DK7XrYpeFfSMuKmr_YoJ3r7MUd7QzgSC,29 Bendemeer Rd,#01-84,No,-,"Nasi Lemak, Lontong, Mee Rubus","Nasi Lemak, Lontong, Mee Rubus",Halal,,,,-,,,,Nasi Lemak,Lontong,Mee Rubus,"Nasi Lemak, Lontong, Mee Rubus"
,Ricky Satay,North-East,550261,Man Kim Coffeeshop,https://drive.google.com/drive/folders/1j2ivjQk-bJAtmXOok9-YmzUg5Doum0i3,Blk 261 Serangoon Central Drive ,#01-15,No,97653619,"Pork/ Chicken/ Mutton Satay, Ketupat","Pork/ Chicken/ Mutton Satay, Ketupat",,,,,"5pm to 1045pm, Tuesday off",,,,Pork/ Chicken/ Mutton Satay,Ketupat,,"Pork/ Chicken/ Mutton Satay, Ketupat"
,Pang's Satay,Central,50335,"Chinatown Complex, 335 Smith Road",https://drive.google.com/drive/folders/1TsM32XWBIUeCvbCvwIYf1bEnJ_-rPCWA,,#02-213,Direct,91513626,Satay,Satay,,,,,Mon-Fri 5 - 9pm.  Sat/Sun/PH 3.30 - 9pm.  Closed on Wed (except PH),,Burpple,,Satay,,,Satay
,Somerset Wantan Mee,East,440081,"Hua Hua Eating House, Marine Parade Central Blk 81",https://drive.google.com/drive/folders/1hXn8XB54xtI4ctg4Ol12A62SpGnyWZzx,,#01-654,No,96623762,"Wantan Noodle, Shredded Chicken Noodle, Dumpling Noodle","Wantan Noodle, Shredded Chicken Noodle, Dumpling Noodle",,,,,8am to 2pm (Tuesday Off),,,,Wantan Noodle,Shredded Chicken Noodle,Dumpling Noodle,"Wantan Noodle, Shredded Chicken Noodle, Dumpling Noodle"
,Daeng MY Malay Restaurant,Central,150080,80 Eating House Redhill,https://drive.google.com/drive/folders/1TCMX8LDB2PGEX3ZuKd1m0TqMm31t-NFH,,,,,,,,,,,,,,,,,,
,JM Preserves,Central,68906,"138 Robinson Rd, #03-12 Oxley Tower, Singapore 068906",https://drive.google.com/drive/folders/1FGWrMOggKV6qVuuGuHdHM59HSBbf4f_P,,,,9781 8640,"Claypot Noodles, Fish Soup, Mui Fun","Claypot Noodles, Fish Soup, Mui Fun",,,,,10am - 7pm,,,,Claypot Noodles,Fish Soup,Mui Fun,"Claypot Noodles, Fish Soup, Mui Fun"
,Xin Wei Mei Fishball Noodles,West,680253,"85 Cafe, 253 Choa Chu Kang Avenue 1 ",https://drive.google.com/drive/folders/1J1CHpAu-n_7bt9z62FzvxGpG0Paj3JWS,,#01-05,Grab,,"Fishball noodle mee kia, Black Soya Sauce Noodles, Minced Meat Noodles","Fishball noodle mee kia, Black Soya Sauce Noodles, Minced Meat Noodles",,,,,-,,,,Fishball noodle mee kia,Black Soya Sauce Noodles,Minced Meat Noodles,"Fishball noodle mee kia, Black Soya Sauce Noodles, Minced Meat Noodles"
,Korean Cuisine,Central,348744,"10 Lor Bakar Batu, Singapore 348744",https://drive.google.com/drive/folders/1x7NMCL_--rX67PxI-woM9tW4wMOblB9Y,,,,86111232,,,,,,,Mon to Fri 11am to 6:30pm Sat 11am to 4pm,,,,,,,
,38S Eating House,North-East,569511,38 Ang Moh Kio Industrial Park 2,https://drive.google.com/drive/folders/1WUlp0zlW9zpqzdczimF3WFztosP3B2U0,38 Ang Moh Kio Industrial Park 2,,,NIL,"Carrot cake, Fried Hokkien Mee, Char Kway Teow","Carrot cake, Fried Hokkien Mee, Char Kway Teow",,,,,10am - 7pm,,,,Carrot cake,Fried Hokkien Mee,Char Kway Teow,"Carrot cake, Fried Hokkien Mee, Char Kway Teow"
,Lew Song Kim,Central,330069,Geylang Bahru Market and Food Centre,https://drive.google.com/drive/folders/1qU9Ho-FqFrQrU5A7E0PcYYctgO4wzHUj,69 Geylang Bahru,#01-53,,-,"Nyonya Mee Siam, Mee Rebus","Nyonya Mee Siam, Mee Rebus",,,,,-,,,,Nyonya Mee Siam,Mee Rebus,,"Nyonya Mee Siam, Mee Rebus"
,顺顺来叻沙,Central,370089,"#01-133, 89 Circuit Rd MARKET & HAWKER CENTRE",https://drive.google.com/drive/folders/1tlbrsE9bq5enBpFQw5fue5FYelsaz4Uu,,,,-,,Laksa,,,,,6am to 11am,,,,Laksa,,,Laksa
,Wang Mei (Chin Ji) Soya Bean,Central,310210,"Toa Payoh Lor 8 Market, 210 lorong 8 Toa Payoh",https://drive.google.com/drive/folders/1KCPgQNzVKqQkK-ti8U4jqy9fDK3NK7uy,,,,-,,"Soya Bean Milk, Soya Bean Curd, Chin Chow",,,,,-,,,,Soya Bean Milk,Soya Bean Curd,Chin Chow,"Soya Bean Milk, Soya Bean Curd, Chin Chow"
,Li Huat Hot and Cold Cheng Tng,Central,310210,"#01-80 Toa Payoh Lor 8 Market, 210 lorong 8 Toa Payoh",https://drive.google.com/drive/folders/1iDnOZxd5lYk7ZiX5fZqtz0iZ6MDSI4FV,,,,-,,"Chendol, Cheng Tng",,,,,-,,,,,Chendol,Cheng Tng,"Chendol, Cheng Tng"
,Guan Kee Kway Chap,Central,310210,"#01-24 Toa Payoh Lor 8 Market, 210 lorong 8 Toa Payoh",https://drive.google.com/drive/folders/14zowF5jQv6MyZHR38fN4-h2WcnP_DyN8,,,,9730 4033,,"Kway Chap, Braised Pig Trotters",,,,,Tuesday/Wednesday/Saturday/Sunday: 11am – 8pm Closed on Monday/Thursday/Friday,,,,Kway Chap,Braised Pig Trotters,,"Kway Chap, Braised Pig Trotters"
,Eunos Kway Chap Pig Organ's Soup,East,400030,30 Eunos Road 5 ( Tai Peng canteen),https://drive.google.com/drive/folders/1jtgRG1kj8LpSt970_lGOFMPuesvH6kCX,,,,-,,"Kway Chap, Pig Organ Soup, Meatball Soup",,,,,7am-2pm or until sold out. (Monday to Saturday),,,,Kway Chap,Pig Organ Soup,Meatball Soup,"Kway Chap, Pig Organ Soup, Meatball Soup"
,Asia Western Food,Central,310116,Blk 116 Toa Payoh Lorong 2 (Coffee shop just above Braddell MRT),https://drive.google.com/drive/folders/1zJ_A1Mj0KU2JnSWn-vtbIQvgI3vPZjfL,,,,-,,"Chicken Cutlet, Chicken Wings, Spring Chicken",,,,,-,,,,Chicken Cutlet,Chicken Wings,Spring Chicken,"Chicken Cutlet, Chicken Wings, Spring Chicken"
,Hai Nan King Zhou Beef Noodles,Central,310022,"#01-06 Blk 22 Toa Payoh Lor 7,  Kim Keat Palm Market & Food Center",https://drive.google.com/drive/folders/1PZ2PPt0Ne40g938Wvbpu9qSqLpHVN4um,,,,-,,Beef Noodles,,,,,"8:30AM-5PM (till sold out), closed on Mondays",,,,Beef Noodles,,,Beef Noodles
,Lin Da Qiang (林大强),Central,50335,"335 Smith St, #02-072 Complex Food Centre",https://drive.google.com/drive/folders/1FtHt4JnRdotmMZD9vwfkgdf37T9ComF1,,,,-,,"Cantonese Stir Fry, KL Hokkien Mee, Steamed Fish Head",,,,,10am onwards,,,,Cantonese Stir Fry,KL Hokkien Mee,Steamed Fish Head,"Cantonese Stir Fry, KL Hokkien Mee, Steamed Fish Head"
,Ghim Moh H.K Pasteries,Central,270020,"20 Ghim Moh Rd, #01-06 Market & Hawker Centre",https://drive.google.com/drive/folders/10vSKqrZuOLuCT-mX3rOHSBn52kEBdo7C,,,,-,,"Curry Puff, Sausage Puff, Tapioca Cake",,,,,Tue-sun 7am-7pm,,,,Curry Puff,Sausage Puff,Tapioca Cake,"Curry Puff, Sausage Puff, Tapioca Cake"
,Tian Yuen (天愿) Hainanese Chicken Rice,Central,50335,"#02-162, Chinatown Silk House, Smith St",https://drive.google.com/drive/folders/1dgQUwboaFbf7hjegQ-vB6T5SXX4yYq3P,,,,-,,Steamed Chicken Rice,,,,,11.30am till chicken is sold finished - off days depends,,,,Steamed Chicken Rice,,,Steamed Chicken Rice
,Pasir Panjang Minced Meat Noodles,West,627997,2 Third Lok Yang Road,https://drive.google.com/drive/folders/1PNNsYdFVKNjiHcw7CDQKVs1LrM6So3pr,,,,83646143,,"Minced Meat Noodles, Fishball Noodles, Teochew Noodles",,,,,-,,,,Minced Meat Noodles,Fishball Noodles,Teochew Noodles,"Minced Meat Noodles, Fishball Noodles, Teochew Noodles"
,Hong Hong laksa / Pok ribs prawn noodle,Central,330029,"Bendemeer hawker and Food Center, 29 Bendemeer Rd",https://drive.google.com/drive/folders/1VD116NT36u7HR3SaJdw4-OKKs-ThM9B1,,,,-,,"Laksa, Prawn Noodles",,,,,From 6am to food sold finish,,,,Laksa,Prawn Noodles,,"Laksa, Prawn Noodles"
,Kwang Huat Prawn Noodle,Central,229495,"Store 15, Newton Food Centre, 500 Clemenceau Avenue North",https://drive.google.com/drive/folders/15pBd-Ut0wwmVblyezySkwtK2nv2UEluZ,,,,-,,"Hokkien Fried Prawn Mee, Hokkien Mee Udang Goreng, Cockles Fried Kway Teow",,,,,Daily: 11:30 - 00:00,,,,Hokkien Fried Prawn Mee,Hokkien Mee Udang Goreng,Cockles Fried Kway Teow,"Hokkien Fried Prawn Mee, Hokkien Mee Udang Goreng, Cockles Fried Kway Teow"
,Ci Feng Bak Kut Teh and Ban Mian,East,460204,"食为天 Coffee Shop, Blk 204 Bedok North St 1",https://drive.google.com/drive/folders/1AwWNk7JolvzteAjMn_4QhGPT-UW4_Zyn,,,,-,,"Bak Kut Teh, Braised Pork Trotters, Sesame Oil Chicken",,,,,-,,,,Bak Kut Teh,Braised Pork Trotters,Sesame Oil Chicken,"Bak Kut Teh, Braised Pork Trotters, Sesame Oil Chicken"
,Mei Xiang (美香) Popiah,North-East,560133,Blk 133 Ang Mo Kio Ave 3,https://drive.google.com/drive/folders/1uo_In9JU8sTTCMOJ3fQ-C0T3xBmpeLsQ,,,,-,,Popiah,,,,,-,,,,Popiah,,,Popiah
,Kovan Chwee Kueh 口味水粿,Central,330029,Bendemeer Food Center #01-64 29 Bendemeer Rd,https://drive.google.com/drive/folders/1RL4dJNqU7FFqBeKxEa6rfG35a7OrQ8tM,,,,-,,Chwee Kueh,,,,,6am onwards,,,,Chwee Kueh,,,Chwee Kueh
,Lynn's Place Western Food,East,461026,26A Chai Chee Rd,https://drive.google.com/drive/folders/1xfP4LiFSn6onD7R98TUjldD3s-WDYfYB,,,,96936811,,"Fish and Chips, Mid Wing Rice, Curry Chicken Rice",,,,,11am-9pm,,,,Fish and Chips,Mid Wing Rice,Curry Chicken Rice,"Fish and Chips, Mid Wing Rice, Curry Chicken Rice"
,Hock Kee Western Food,North-East,530327,"Block 327, Hougang Ave 5",https://drive.google.com/drive/folders/1jtZXJYhv88lprSG3WR9X_TkilVFtOIAt,,,,-,,"Spring Chicken, Chicken Chop, Pork Chop",,,,,12 - 930pm,,,,Spring Chicken,Chicken Chop,Pork Chop,"Spring Chicken, Chicken Chop, Pork Chop"
,Lee Lai ( Hong Kong) Roast Meat,Central,99114,"Seah Im Food Centre, #01-20",https://drive.google.com/drive/folders/1qDrkGCyxnTEHkahgShP8fBYuwEqvZR5u,,,,-,,"Roast Pork, Roast Chicken, Char Siew",,,,,Mon – Sat ( 11am-6pm),,,,Roast Pork,Roast Chicken,Char Siew,"Roast Pork, Roast Chicken, Char Siew"
,Selamat Datang Warong Pak Sapari,Central,289876,2 Adam Road,https://drive.google.com/drive/folders/1trSCgacfzZpdyS4sIpO-K36lVIdulfo5,,,,NIL.,,"Mee Soto, Mee Rebus, Begedil",Halal,,,,7:45am-9pm(Hours vary based on availability),,,,Mee Soto,Mee Rebus,Begedil,"Mee Soto, Mee Rebus, Begedil"
,Shun Fatt Roasted Delight,Central,260007,"#01-86, Empress Road Hawker Center (Farrer Road)",https://drive.google.com/drive/folders/195820r5WPgGmCJWbXrPbYWjrcAuBSMkb,,,,-,,"Dumpling Noodles, Roast Duck, Char Siew",,,,,7am and closes at 9pm,,,,Dumpling Noodles,Roast Duck,Char Siew,"Dumpling Noodles, Roast Duck, Char Siew"
,Rong Yi Pau,Central,182269,"269B Queens Street, 3838 Eating Place",https://drive.google.com/drive/folders/1_gIO2tSZcwQ5F4KKCLK5_anuYqwcLMzF,,,,-,,"Char Siew Pau, Da Bao, Siew Mai",,,,,7am onwards,,,,Char Siew Pau,Da Bao,Siew Mai,"Char Siew Pau, Da Bao, Siew Mai"
,Ser Kee Restaurant (壮记菜馆）,Central,180270,"270 Queen St, #01-43",https://drive.google.com/drive/folders/1PwD3doMISxDgRVUttt6G2KKOv5iaX97h,,,,-,,Braised Duck,,,,,7am - 8pm,,,,Braised Duck,,,Braised Duck
,Ri Xin Snack Delights,Central,69184,"Store 55, Maxwell Food Centre, 1 Kadayanallur St",https://drive.google.com/drive/folders/1czhIPCHYTSy2SrPaOMulchoCjW27Lw0b,,,,-,,"Ang Ku Kueh, Fa Gao",,,,,-,,,,Ang Ku Kueh,Fa Gao,,"Ang Ku Kueh, Fa Gao"
,Hum Jin Pang 中国街咸煎饼,Central,69184,"#01-28, Maxwell Food Centre, 1 Kadayanallur St",https://drive.google.com/drive/folders/1JiOByldR6h7yK4KMxpi0FdGKzAVhdWEw,,,,-,,Ham Jin Pang,,,,,11am-8pm,,,,Ham Jin Pang,,,Ham Jin Pang
,Hainanese Curry Rice (中国街咖喱饭）,Central,69184,"#01-68 Maxwell Food Centre, 1 Kadayanallur St",https://drive.google.com/drive/folders/1iB4v8jYMGyrIAgwr3f-rld5IrTY1-IYi,,,,-,,"Hainanese Curry Rice, Meatballs",,,,,-,,,,Hainanese Curry Rice,Meatballs,,"Hainanese Curry Rice, Meatballs"
,Traditional Delight (古早美味）,Central,69184,"Maxwell Food Centre, 1 Kadayanallur St",https://drive.google.com/drive/folders/1B74cUAFyJYD74dBx9JVI4AGWAPYTCO-k,,,,-,,"Ondeh Ondeh, Spring Roll",,,,,-,,,,Ondeh Ondeh,Spring Roll,,"Ondeh Ondeh, Spring Roll"
,Mei Si Noodles,Central,330029,"# 01-01, Bendemeer Market & Food Centre",https://drive.google.com/drive/folders/1cH9KwSIQinj9ytx5L8YbpGP3hF0OfKKL,,,,-,,"Mushroom Pig Trotter Noodles, Mushroom Bean Paste Pork Noodles, Mushroom Minced Meat Noodles",,,,,"6am -1pm, Tuesdays to Sundays",,,,Mushroom Pig Trotter Noodles,Mushroom Bean Paste Pork Noodles,Mushroom Minced Meat Noodles,"Mushroom Pig Trotter Noodles, Mushroom Bean Paste Pork Noodles, Mushroom Minced Meat Noodles"
,Liang Seah Street Prawn Noodle,Central,199583,"Golden Mile Food Centre, #B1-54",https://drive.google.com/drive/folders/12XXvtnR3QTNbfI80HO1U5V5pS27s_r8y,,,,NIL,,,,,,,8:15 to 20:45,,,,,,,
,Choa Chu Kang BBQ Chicken Wings,Central,118543,"Store 23, 121 Pasir Panjang Rd, Pasir Panjang Food center",https://drive.google.com/drive/folders/1eILlyKt5rfvWf9gSVaLJwkUOG0XgxJaf,,,,-,,"BBQ Chicken Wings, Otah",,,,,"Wednesday - Sunday , 4:30pm - 11pm",,,,BBQ Chicken Wings,Otah,,"BBQ Chicken Wings, Otah"
,Wang Rong,North-East,569511,38 Ang Mo Kio Industrial Park (Coffee Shop),https://drive.google.com/drive/folders/14RLErFqkqUSBB5I0MGuIxj3RlTLq1Gob,,,,-,,"Carrot cake, Fried Oyster Omelet, Fried Kway Teow",,,,,10am to 7pm,,,,Carrot cake,Fried Oyster Omelet,Fried Kway Teow,"Carrot cake, Fried Oyster Omelet, Fried Kway Teow"
,Chung Ping Chicken Rice,Central,330029,"#01-58 Blk 29 Bendemeer Road, Bendemeer Market and Food Centre",https://drive.google.com/drive/folders/1q4DgyNa8q2Mbe6dZisUNx2c_Pd2B94zA,,,,-,,"Steamed Chicken Rice, Roast Pork, Char Siew",,,,,10am - 7pm,,,,Steamed Chicken Rice,Roast Pork,Char Siew,"Steamed Chicken Rice, Roast Pork, Char Siew"
,Granny Pancake,Central,330029,"#01-77, 29 Bendemeer Road, Bendemeer Market And Food Centre",https://drive.google.com/drive/folders/1QPeszq1NLEGb4LlZBu1a09-lVpo3rNVs,,,,-,,"Red Bean Ming Jiang Kueh, Peanut Ming Jiang Kueh, Cheese Ming Jiang Kueh",,,,,7am - 2pm,,,,Red Bean Ming Jiang Kueh,Peanut Ming Jiang Kueh,Cheese Ming Jiang Kueh,"Red Bean Ming Jiang Kueh, Peanut Ming Jiang Kueh, Cheese Ming Jiang Kueh"
,Hong Homemade Noodle,North-East,561453,"
#01-12, 453A Ang Mo Kio Avenue 10, Chong Boon Food Centre",https://drive.google.com/drive/folders/1GHO1o4g9tYWS-6-ufJ7NZPPpFtxdSn8Y,,,,-,,"Homemade Noodles, BBQ Stingray, Seafood Soup",,,,,-,,,,Homemade Noodles,BBQ Stingray,Seafood Soup,"Homemade Noodles, BBQ Stingray, Seafood Soup"
